norm_title,critics_consensus,tomatometer_rating
superfly,"Superfly updates the blaxploitation original with a stylish remake that's exciting and visually arresting enough to offer its own slickly staged action rewards, but disappointingly short on social subtext.",50.0
stay alive,"A by-the-numbers teen horror flick, Stay Alive fails to exploit its premise for any real scares.",10.0
experimenter,"Led by a gripping performance from Peter Sarsgaard, Experimenter uses a fact-based story to pose thought-provoking questions about human nature.",85.0
rio 2,"Like most sequels, Rio 2 takes its predecessor's basic template and tries to make it bigger -- which means it's even busier, more colorful, and ultimately more exhausting for viewers outside the youthful target demographic.",48.0
poetry,"Poetry is an absorbing, poignant drama because it offers no easy answers to its complex central conflict.",100.0
anastasia,"Beautiful animation, an affable take on Russian history, and strong voice performances make Anastasia a winning first film from Fox animation studios.",86.0
archipelago,"Sad, funny, and wise in equal measure, Archipelago finds writer-director Joanna Hogg in remarkably strong, confident form.",96.0
woman walks ahead,"Woman Walks Ahead gets some extra mileage out of watchable work from Jessica Chastain and Michael Greyeyes, but uneven pacing and two-dimensional characters undermine their efforts.",53.0
talk to her,"Another masterful, compassionate work from Pedro Almodovar.",92.0
enders game,"If it isn't quite as thought-provoking as the book, Ender's Game still manages to offer a commendable number of well-acted, solidly written sci-fi thrills.",62.0
a star is born,"With appealing leads, deft direction, and an affecting love story, A Star Is Born is a remake done right -- and a reminder that some stories can be just as effective in the retelling.",90.0
the thin man,"Featuring an involving mystery and sparkling repartee between William Powell and Myrna Loy, The Thin Man is an endlessly charming romp.",97.0
the bodyguard,"The Bodyguard is a cheesy, melodramatic potboiler with occasional moments of electricity from Whitney Houston.",33.0
styx,"Anchored by powerful work from Susanne Wolff, Styx provocatively depicts mankind at war with itself and the natural world -- and argues our best weapon is compassion.",93.0
a man named pearl,"Though it lacks moviemaking polish, A Man Named Pearl is redeemed by the interest -- and uplift -- generated by its subject.",75.0
the queen,"Celebrating its subjects without ever losing sight of their story, The Queen is a fascinating time capsule that has only gained resonance since its release.",96.0
freedom writers,"Freedom Writers is a frank, formulaic entry in the inspirational inner-city teacher genre, with an energetic Hilary Swank leading the appealing cast of unknowns.",70.0
paper moon,"Expertly balancing tones, Paper Moon is a deft blend of film nostalgia and finely tuned performances -- especially from Tatum O'Neal, who won an Oscar for her debut.",92.0
new best friend,"Generic, confusing, and trashy, New Best Friend is a laughably bad, obvious campus whodunit.",5.0
jackass the movie,"There's a good chance you'll be laughing hysterically at one stunt, but getting grossed out by the next one in this big screen version of the controversial MTV show.",48.0
fast furious,"While Fast and Furious features the requisite action and stunts, the filmmakers have failed to provide a competent story or compelling characters.",29.0
mansfield park,"Solid performances, bold direction.",77.0
alpha dog,"A glossy yet unflinching portrait of violent, hedonistic teenagers. Bruce Willis and Sharon Stone chew the scenery, while Justin Timberlake gives a noteworthy performance.",54.0
secuestro express,"Despite utilizing a visual whirlwind of cinematic tricks, this socio-political thriller falls short of fulfilling its heavier goals but provides a powerful peek into the class issues of modern Venezuela.",52.0
the damned united,"Better than your average football pic, Damned United is carried by another star turn from Michael Sheen as Brian Clough.",92.0
500 days of summer,"A clever, offbeat romantic comedy, 500 Days of Summer is refreshingly honest and utterly charming.",85.0
the look of love,While it may not add up to the definitive Paul Raymond biopic -- or take full advantage of Steve Coogan's many gifts -- The Look of Love still proves an entertainingly old-fashioned look at the Swinging London of the 1960s.,54.0
wounds,"Wounds isn't without its creepy-crawly charms, but they -- and the efforts of a talented cast -- get squished by a story that never quite gets completely under the skin.",49.0
miracles from heaven,"Miracles from Heaven makes the most out of an outstanding performance from Jennifer Garner, but it isn't quite enough to keep this faith-based drama from preaching to the choir.",45.0
a good woman is hard to find,"A Good Woman Is Hard to Find, but it isn't difficult to see a star in the making while watching Sarah Bolger's powerful performance in this gritty thriller.",92.0
miami rhapsody,"Miami Rhapsody has a handful of laughs, but wears its influences so heavily that it can't help but suffer by comparison.",45.0
m,"A landmark psychological thriller with arresting images, deep thoughts on modern society, and Peter Lorre in his finest performance.",100.0
feast of love,"Though beautifully photographed, Feast of Love offers little beyond a trite, melodramatic character drama.",39.0
the wages of fear,"An existential suspense classic, The Wages of Fear blends nonstop suspense with biting satire; its influence is still being felt on today's thrillers.",100.0
punks not dead,"Susan Dynner's Punk's Not Dead is a thrilling and ambitious overview of the history and resilience of punk music, featuring interviews with an array of the genre's outspoken godfathers.",90.0
hamlet,Stiff performances fail to produce any tension onscreen.,59.0
dumplin,"Elevated by a solid soundtrack and a terrific cast, Dumplin' offers sweetly uplifting drama that adds just enough new ingredients to a reliably comforting formula.",85.0
the best man,"With a strong cast and a host of well-defined characters, The Best Man is an intelligent, funny romantic comedy that marks an impressive debut for writer/director Malcolm D. Lee.",72.0
lbj,"LBJ loses sight of its complicated subject, ignoring the more intriguing aspects of his personality and career in favor of a frustratingly ordinary biopic treatment.",58.0
fifty shades of grey,"While creatively better endowed than its print counterpart, Fifty Shades of Grey is a less than satisfying experience on the screen.",25.0
school of rock,"Black's exuberant, gleeful performance turns School of Rock into a hilarious, rocking good time.",91.0
live by night,"Live by Night boasts visual style and an impressive cast, but they're lost in a would-be crime saga that finds producer, director, and star Ben Affleck revisiting familiar themes to diminishing effect.",35.0
the cooler,A small movie elevated by superb performances.,77.0
big mommas house,"Big Momma's House is funny in some parts, but it is essentially a one-joke movie.",30.0
bitter harvest,Bitter Harvest lives down to its title with a clichéd wartime romance whose clumsy melodrama dishonors the victims of the real-life horrors it uses as a backdrop.,15.0
chasing mavericks,"It's sweet, gentle, and affably modest, but Chasing Mavericks is ultimately pulled under by an unconvincing script and a puzzling lack of energy.",32.0
when harry met sally,"Rob Reiner's touching, funny film set a new standard for romantic comedies, and he was ably abetted by the sharp interplay between Billy Crystal and Meg Ryan.",91.0
zatôichi the blind swordsman zatoichi,"Colorful, rich with action and wonderfully choreographed, Takeshi Kitano takes on the classic samurai character with his own brand of cinematic flair.",87.0
the spy who loved me,"Though it hints at the absurdity to come in later installments, The Spy Who Loved Me's sleek style, menacing villains, and sly wit make it the best of the Roger Moore era.",80.0
monty pythons the meaning of life,"Monty Python's the Meaning of Life is rude, ribald, and unafraid to take comedic risks -- which is to say it should more than satisfy fans of the titular troupe.",86.0
last knights,"As blandly unimaginative as its title, Last Knights revisits well-worn sword-and-sandal tropes without adding anything new -- or interesting -- to the genre.",16.0
jagged edge,"Coolly performed and suspenseful, Jagged Edge is a satisfying enough potboiler that most audiences won't mind if the twists don't quite add up.",81.0
the death of dick long,The Death of Dick Long mixes dark humor with provocative ideas to produce a sharp blend that's admittedly uneven but uniquely satisfying.,75.0
neon bull boi neon,"Neon Bull's hypnotic visual poetry occasionally borders on exploitation, though its reflective nature softens its animalistic gaze.",88.0
side by side,"Keanu Reeves proves a groovy guide through this informative exploration of how technology is transforming cinema, with an even-handed defense for both the old and the new.",93.0
the intended,Predictable and pointless melodrama.,33.0
maria bamford old baby,"Maria Bamford delights with her distinct style and impressive onstage confidence, solidifying her status as a contemporary master of comedy.",100.0
humpday,"Observant and insightful, this indie comedy takes a different tack on the ""bromance"" but still makes a point without sermonizing.",79.0
life of crime,"It may not stand shoulder-to-shoulder with the best Elmore Leonard adaptations, but Life of Crime has enough ambling charm -- and a sharp enough cast -- to get by.",68.0
waves,"An up-close look at one family's emotional ups and downs, Waves captures complicated dynamics with tenderness and grace.",84.0
delivery man,"It has an undeniably sweet charm, and Vince Vaughn is eminently likable in the lead role, but The Delivery Man suffers in comparison to Starbuck, the hit Canadian comedy that inspired it.",39.0
ghost dad,"A startlingly misconceived effort from director Sidney Poitier and star Bill Cosby, Ghost Dad is a listless, glacially-paced comedy that's alternately schmaltzy and incomprehensible.",6.0
thirteen days,"Thirteen Days offers a compelling look at the Cuban Missile Crisis, and its talented cast deftly portrays the real-life people who were involved.",83.0
the beach,"Critics say The Beach is unfocused and muddled, a shallow adaptation of the novel it is based on. Points go to the gorgeous cinematography, though.",20.0
miami blues,"Laced with hard-boiled thrills and pitch-black comedy, Miami Blues delivers a disarmingly off-kilter crime caper.",81.0
kikis delivery service,"Kiki's Delivery Service is a heartwarming, gorgeously-rendered tale of a young witch discovering her place in the world.",98.0
excess baggage,"Struggling to find a romantic spark in a seedy premise, Excise Baggage is weighed down by a lot of comedic dead weight.",32.0
milarepa,"Milarepa's confusing plot structure, simplistic message, and poor production values cause it to fall flat.",41.0
mortdecai,"Aggressively strange and willfully unfunny, the misguided Mortdecai sounds a frightfully low note in Johnny Depp's post-Pirates filmography.",12.0
phone booth,Quick pacing and Farrell's performance help make Phone Booth a tense nail-biter.,72.0
the forgiveness of blood,"Acutely observed with naturalistic performances, The Forgiveness of Blood reaffirms director Joshua Marston's gift for cultural commentary through intimate storytelling.",84.0
the recruit,This polished thriller is engaging until it takes one twist too many into the predictable.,43.0
calm with horses the shadow of violence,"The Shadow of Violence presents a grimly effective portrait of one man's struggle with divided loyalties, elevated by standout performances from a stellar cast.",94.0
a thousand years of good prayers,"Though it may not be as profound as its pacing would suggest, A Thousand Years of Good Prayers delicately examines familial issues in an earnest fashion.",79.0
letters from iwo jima,"A powerfully humanistic portrayal of the perils of war, this companion piece to Flags of our Fathers is potent and thought-provoking, and it demonstrates Clint Eastwood's maturity as a director.",91.0
bobby jones stroke of genius,"This earnest, monotonous biopic lacks dramatic tension and simplifies Jones' life.",26.0
starting out in the evening,Starting Out in the Evening features sharp dialogue and moving performances from the talented Frank Langella and Lili Taylor.,87.0
double lover lamant double,Double Lover offers kinky pleasures that should thrill fans of classic erotic cinema while adding some uniquely transgressive European twists.,70.0
knuckle,A gritty documentary that captures the brutality and banality of bare-knuckle fights among Irish Travellers.,93.0
et the extraterrestrial,"Playing as both an exciting sci-fi adventure and a remarkable portrait of childhood, Steven Spielberg's touching tale of a homesick alien remains a piece of movie magic for young and old.",98.0
twist of faith,"With Twist of Faith, documentarian Kirby Dick follows one man's story in a gripping attempt to unravel the history of sexual abuse within the Catholic Church.",100.0
a nightmare on elm street,"Wes Craven's intelligent premise, combined with the horrifying visual appearance of Freddy Krueger, still causes nightmares to this day.",94.0
venom,"A voodoo horror flick without the mojo, Venom is chock full of gory impalings of interchangeable teenage girls and hunky guys by an unstoppable zombie whose unimaginative rampage quickly lulls us to sleep.",11.0
triple threat,"Triple Threat might have made better use of its attention-getting cast, but action fans should still find the end results entertaining enough to rate a rental.",69.0
richard jewell,Richard Jewell simplifies the real-life events that inspired it -- yet still proves that Clint Eastwood remains a skilled filmmaker of admirable economy.,77.0
babel,"In Babel, there are no villains, only victims of fate and circumstance. Director Alejandro Gonzalez Iñarritu weaves four of their woeful stories into this mature and multidimensional film.",69.0
why do fools fall in love,This is a fun comedy with delightful musical numbers.,52.0
aniara,"Dazzling, but a little dull, ANIARA's impeccable production design is undermined by its underwhelming philosophical pondering.",69.0
a prayer before dawn,"A Prayer Before Dawn is far from an easy watch, but this harrowing prison odyssey delivers rich rewards -- led by an outstanding central performance from Joe Cole.",92.0
stripes,A raucous military comedy that features Bill Murray and his merry cohorts approaching the peak of their talents.,86.0
the insider,"Intelligent, compelling, and packed with strong performances, The Insider is a potent corporate thriller.",96.0
the long kiss goodnight,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim.",70.0
the awful truth,Great comic direction by Leo McCarrey and memorable onscreen chemistry from stars Cary Grant and Irene Dunne make this screwball comedy a charmer.,93.0
shorts the adventures of the wishing rock,"Shorts has imagination and energy, but most viewers beyond elementary school will likely tire of the kiddie humor and sensory overload.",46.0
the sheltering sky,The Sheltering Sky puts its talented stars at odds with a misguided and largely unsatisfying adaptation of potentially unfilmable source material.,50.0
the brothers grimsby,"The Brothers Grimsby showers viewers with a steady stream of Sacha Baron Cohen's edgy humor, but too many gags hit the wrong side of the line between audacious and desperate.",37.0
sommersby,"Sommersby stumbles as a consistently compelling mystery, but typically solid work from Jodie Foster and Richard Gere fuels an engaging romance.",62.0
slaughterhouse rulez,"An uneven blend of horror and comedy that fails to satisfy on either front, Slaughterhouse Rulez aims for B-movie fun but doesn't make the grade.",39.0
mission impossible 2,"Your cranium may crave more substance, but your eyes will feast on the amazing action sequences.",57.0
the changeling,George C. Scott's somber performance gives this haunted house horror a moving soul to go along with its harrowing scares.,83.0
house of games,"Galvanized by David Mamet's punchy dialogue and a winding succession of surprises, House of Games is a terse thriller where confidence is currency.",96.0
red lights,"Red Lights is a taut, character-driven thriller, set against the debris-strewn battleground of a failing marriage.",83.0
a good woman,"This adaptation of Wilde's Lady Windermere's Fan lacks bite due to liberties taken with the source material, coupled with uneven performances.",37.0
the fast and the furious,"Sleek and shiny on the surface, The Fast and the Furious recalls those cheesy teenage exploitation flicks of the 1950s.",53.0
damascus cover,Damascus Cover is essentially every bit the hackneyed espionage drama that any veteran of '90s action thrillers might expect after reading its title.,14.0
chapter 27,"Despite Jared Leto's committed performance, Chapter 27 fails to penetrate to mind of Mark David Chapman, John Lennon's killer.",18.0
reanimator,"Perfectly mixing humor and horror, the only thing more effective than Re-Animator's gory scares are its dry, deadpan jokes.",93.0
very good girls,"Resting on a love triangle played out by poorly drawn characters, Very Good Girls succeeds mainly in making viewers want a better project for Dakota Fanning and Elizabeth Olsen.",19.0
emperor,"Despite a typically strong performance from Tommy Lee Jones, Emperor does little with its fascinating historical palate, and is instead bogged down in a cliched romantic subplot.",32.0
the beach bum,"The role of a lifetime for Matthew McConaughey, The Beach Bum is set apart by Harmony Korine's distinctive style, but that isn't always enough to offset the unfocused story.",56.0
changeling,"Beautifully shot and well-acted, Changeling is a compelling story that unfortunately gives in to convention too often.",62.0
little,"A disappointingly uneven but overall agreeable spin on a familiar formula, Little benefits from a big heart -- and a story that makes good use of its talented, well-matched cast.",46.0
hallam foe mister foe,"Carefully balanced between the dark and the dreamy, Mister Foe is a charged coming-of-age story with whimsy and bite.",73.0
shutter island,"It may not rank with Scorsese's best work, but Shutter Island's gleefully unapologetic genre thrills represent the director at his most unrestrained.",68.0
the last kiss,You'll either find the The Last Kiss to be a phony bore or a refreshing take about young 20-somethings at the crossroads between their carefree lifestyle and responsibility. Zach Braff and the rest of the appealing cast make the case for the latter.,46.0
the holy mountain,"A visual treat rich in symbolism, The Holy Mountain adds another defiantly idiosyncratic chapter to Jodorowsky's thoroughly unique filmography.",83.0
fitzcarraldo,"With a production as audacious as the feat it's depicting, Fitzcarraldo comes by its awe-inspiring spectacle honestly, even when it declines to examine the darker implications of its hero's dream.",78.0
north country,"Though sometimes melodramatic and formulaic, North Country is nonetheless a rousing, powerful story of courage and humanity.",69.0
the proposition,"Brutal, unflinching, and violent, but thought-provoking and with excellent performances, this Australian western is the one of the best examples of the genre to come along in recent times.",85.0
highlander iii the sorcerer highlander the final dimension,"Borderline unwatchable and unspeakably dull, Highlander III is a sloppy third installment that still somehow manages to mark a slight improvement over its predecessor.",5.0
this must be the place,"This Must Be the Place may feature too many wayward detours to satisfy some passengers, but Sean Penn's beguiling performance and Paolo Sorrentino's scenic visuals make this a road trip worth following.",67.0
alien3,"Alien3 takes admirable risks with franchise mythology, but far too few pay off in a thinly scripted sequel whose stylish visuals aren't enough to enliven a lack of genuine thrills.",43.0
irresistible,"A soft political satire that proves frustratingly less than the sum of its talented parts, Irresistible is anything but.",40.0
holmes and watson,The lowest and vilest alleys in London do not present a more dreadful record of the adventures of Sherlock Holmes and Dr. Watson than does Holmes and Watson.,10.0
hector and the search for happiness,"Simon Pegg remains as charming as ever, but Hector and the Search for Happiness drowns his appeal in schmaltz.",37.0
revenge,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.",93.0
the skin i live in,"The Skin I Live In lacks Almodovar's famously charged romance, replaced with a wonderfully bizarre and unpredictable detour into arthouse ick.",81.0
the limehouse golem,The Limehouse Golem offers old-school Hammer-style horror anchored by rich period detail and strong work from a solid cast.,74.0
love,"Love sees writer-director Gaspar Noé delivering some of his warmest and most personal work; unfortunately, it's also among his most undeveloped and least compelling.",39.0
swimming pool,A sensual thriller with two engaging performers demanding our undivided attention.,83.0
cape fear,"Smart and stylish, Cape Fear is a gleefully mainstream shocker from Martin Scorsese, with a terrifying Robert De Niro peformance.",74.0
the frighteners,"Boasting top-notch special effects and exuberant direction from Peter Jackson, The Frighteners is visually striking but tonally uneven.",64.0
luccello dalle piume di cristallo the bird with the crystal plumage,"Combining a deadly thriller plot with the stylized violence that would become his trademark, The Bird with the Crystal Plumage marked an impressive horror debut for Dario Argento.",93.0
sydney white,"Amanda Bynes is charming, but Sydney White is a poorly adapted take on Snow White, relying on tired ethnic stereotypes laughs.",35.0
the bourne identity,"Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.",83.0
the saint,"The Saint is watchable thanks to Kilmer and Shue, but the muddled screenplay stretches credulity.",30.0
man of the house,A high-concept movie that plays out like a mediocre TV sitcom.,9.0
before i fall,Before I Fall's familiar ingredients are enlivened by a fresh YA perspective and a strong performance from emerging star Zoey Deutch.,65.0
the descent 2,"The Descent 2 goes spelunking for its predecessors' unnerving power but never digs beyond surface chills, although this efficient splatterfest contains enough nasty set pieces to sate the gore-prone.",55.0
tumbleweeds,Strong performances add authenticity and depth.,82.0
dirty,Dirty is an unoriginal L.A. cop drama that wears its tired influences on its sleeves.,21.0
bats,Neither scary nor creepy.,17.0
the hunchback of notre dame,"A heart-rending take on the classic book, with a legendary performance by Lon Chaney.",92.0
district b13 banlieue 13,"A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws.",80.0
the getaway,"The Getaway sees Sam Peckinpah and Steve McQueen, the kings of violence and cool, working at full throttle.",86.0
my winnipeg,My Winnipeg is a charmingly irreverent 'docu-fantasy' from the unpredictable mind of Guy Maddin.,95.0
birds of prey and the fantabulous emancipation of one harley quinn,"With a fresh perspective, some new friends, and loads of fast-paced action, Birds of Prey captures the colorfully anarchic spirit of Margot Robbie's Harley Quinn.",78.0
what just happened,"What Just Happened has some inspired comic moments, but this inside-baseball take on Hollywood lacks satirical bite.",50.0
bye bye birdie,"A poppy satire on pop music, Bye Bye Birdie is silly, light, and very, very pink.",89.0
batman robin,Joel Schumacher's tongue-in-cheek attitude hits an unbearable limit in Batman & Robin resulting in a frantic and mindless movie that's too jokey to care much for.,11.0
dark days,Marc Singer's documentary about a group of homeless people living beneath the streets of New York City is haunting and uplifting in equal measure.,94.0
the royal tenenbaums,The Royal Tenenbaums is a delightful adult comedy with many quirks and a sense of poignancy. Many critics especially praised Hackman's performance.,80.0
macbeth,"Faithful to the source material without sacrificing its own cinematic flair, Justin Kurzel's Macbeth rises on the strength of a mesmerizing Michael Fassbender performance to join the upper echelon of big-screen Shakespeare adaptations.",80.0
mental,Mental is a well-acted black comedy that suffers from jarring tonal shifts and a lack of comic discipline.,44.0
junior,"Even with an abundance of talent behind and in front of the camera, Junior doesn't quite deliver enough laughs to nurse its zany high-concept idea.",36.0
adam resurrected,"Such an unusual tale might have made for a compelling drama, but Adam Resurrected suffers from narrative confusion and an emotional detachment at its core.",35.0
mommy,"As challenging as it is rewarding, Mommy finds writer-director Xavier Dolan taking another impressive step forward.",89.0
hell fest,"Hell Fest might give less demanding horror fans a few decent reasons to scream, but it's neither clever nor frightening enough to leave much of an impression.",40.0
the cave,"Despite its stylized and impressive sets, this horror-monster movie mish-mash suffers from endless cliches and wildly implausible plotlines.",12.0
the man on the train lhomme du train,"A lovely, contemplative character study with two wonderful performances at its center.",92.0
just getting started,"A thoroughly unfunny misfire, Just Getting Started manages the incredible feat of wasting more than a century of combined acting experience from its three talented leads.",4.0
dumbo,"Dumbo is held partly aloft by Tim Burton's visual flair, but a crowded canvas and overstretched story leave this live-action remake more workmanlike than wondrous.",46.0
learning to drive,"The story's a bit predictable, but Learning to Drive is elevated by typically strong work from stars Patricia Clarkson and Ben Kingsley.",65.0
sarahs key,"Sarah's Key is an absorbing, impeccably-acted Holocaust drama with minor plot issues.",72.0
the breakup,"This anti-romantic comedy lacks both laughs and insight, resulting in an odd and unsatisfying experience.",34.0
frankensteins monsters monster frankenstein,"While Frankenstein's Monster's Monster, Frankenstein's offbeat sense of humor might be too strange for some, those looking for a kooky new comedy will find much to like in its spooky spoofs.",88.0
the little death,"The Little Death may appeal to fans of dark, risqué comedy, but it's ultimately too rough and uneven to hang together as a wholly satisfying viewing experience.",61.0
replicas,"Equal parts plot holes and unintentional laughs, Replicas is a ponderously lame sci-fi outing that isn't even bad enough to be so bad it's good.",11.0
the american president,"A charming romantic comedy with political bite, Rob Reiner's American President features strong lead performances and some poignant observations of politics and media in the 1990s.",91.0
the transporter refueled,"The Transporter Refueled has little to offer beyond a handful of decent action sequences, leaving this reboot's title feeling more like wishful thinking than a restatement of purpose.",16.0
poultrygeist night of the chicken dead,"Poultrygeist may be relentlessly tasteless and juvenile, but it's also a lively slice of schlocky fun.",65.0
henry poole is here,"Full of Hallmark-truisms and pop songs presented with strained significance, this comic foible intends less to convert than to preach to the choir.",40.0
seymour an introduction,Seymour Bernstein's genuineness shines so brightly in Seymour: An Introduction that viewers will forgive debuting director Ethan Hawke's reverent treatment.,100.0
time of the wolf,A lean and unsettlingly thriller.,64.0
that summer,"Although likely most satisfying for Grey Gardens fans, That Summer adds a slight yet entertaining addendum to its classic predecessor.",82.0
home of the brave,"The ensemble cast works hard, but hammy direction and a script lacking in nuance ruins this movie's noble intentions.",23.0
dangerous liaisons,"Stylish, seductive, and clever, Stephen Frears' adaptation is a wickedly entertaining exploration of sexual politics.",93.0
27 dresses,"The filmmakers perfectly follow the well-worn romantic comedy formula, rendering 27 Dresses clichéd and mostly forgettable.",41.0
ishtar,"Warren Beatty, Dustin Hoffman, and laughter itself get lost in the desert during a flawed spoof of classic road movies that proves ill-suited for its mismatched and miscast stars.",37.0
spy kids 3d game over,The movie will be found wanting if one is not taken in by the 3-D visuals.,45.0
flannel pajamas,Flannel Pajamas is a talky and overwrought love story that is redeemed by fine performances and character insights.,51.0
step into liquid,A perfect companion piece to The Endless Summer.,81.0
the sessions,"Tender, funny, and touching, The Sessions provides an acting showcase for its talented stars and proves it's possible for Hollywood to produce a grown-up movie about sex.",91.0
dom hemingway,"Jude Law is clearly having fun in Dom Hemingway's title role, but viewers may find this purposely abrasive gangster dramedy isn't quite as enjoyable from the other side of the screen.",56.0
halloween,"Halloween largely wipes the slate clean after decades of disappointing sequels, ignoring increasingly elaborate mythology in favor of basic - yet still effective - ingredients.",79.0
spare parts,Spare Parts is effective enough to do in a pinch for inspirational sports drama fans - although most of them will have seen these story beats hit more powerfully before.,56.0
collateral damage,"Despite its timely subject matter, Collateral Damage is an unexceptional and formulaic action thriller.",19.0
hustlers,"Led by a career-best performance from Jennifer Lopez, Hustlers is a uniquely empowering heist drama with depth and intelligence to match its striking visual appeal.",87.0
being flynn,"Robert De Niro gives a sincere, gripping performance, but Being Flynn is an uneasy mix of drama and comedy that fails to emotionally resonate as a whole.",51.0
trainwreck,"Trainwreck drags commitment out of all but the most rom-com-phobic filmgoers with sharp humor, relatable characters, and hilarious work from Amy Schumer.",85.0
the captain der hauptmann,The Captain makes chillingly persuasive points about the dark side of human nature -- and underscores how little certain tendencies ever really change.,83.0
the elephant man,"David Lynch's relatively straight second feature finds an admirable synthesis of compassion and restraint in treating its subject, and features outstanding performances by John Hurt and Anthony Hopkins.",92.0
spectre,"Spectre nudges Daniel Craig's rebooted Bond closer to the glorious, action-driven spectacle of earlier entries, although it's admittedly reliant on established 007 formula.",63.0
take this waltz,"Featuring excellent work from an outstanding cast, the bittersweet drama Waltz proves that in the right hands, a familiar tale can still ring true.",79.0
in a better world,In a Better World is a sumptuous melodrama that tackles some rather difficult existential and human themes.,78.0
northfork,"Visually poetic, but may be too dramatically inert for some.",56.0
snowpiercer,Snowpiercer offers an audaciously ambitious action spectacular for filmgoers numb to effects-driven blockbusters.,94.0
the thomas crown affair,"Steve McQueen settles into the role with ease and aplomb, in a film that whisks viewers to an exotic world with style and sex appeal.",76.0
the kite runner,"Despite some fine performances, The Kite Runner is just shy of rendering the magic of the novel on to the big screen.",65.0
underworld awakening,"There's more vapid action and less story in Underworld Awakening than previous installments, making the whole affair feel inconsequential.",26.0
brave,"Brave offers young audiences and fairy tale fans a rousing, funny fantasy adventure with a distaff twist and surprising depth.",78.0
the pirates who dont do anything a veggietales movie,"This Veggietale should please the youngest crowds, but the silly script will tire the more discerning viewer.",43.0
the bad and the beautiful,"Melodrama at its most confident, The Bad and the Beautiful is an ode to moviemaking that offers unblinking insight into the ugly egos that have shaped Hollywood history.",79.0
bridge to terabithia,"Bridge to Terabithia is a faithful adaptation of a beloved children's novel and a powerful portrayal of love, loss, and imagination through children's eyes.",85.0
exorcist ii the heretic,"Hokey mystical effects, lousy plotting, and worse acting directly tarnishes the first's chilling legacy.",15.0
the santa clause 3 the escape clause,"Playing Jack Frost as an evil cross between Liza Minnelli and Liberace, Martin Short is a welcome presence, but this tired series continues drawing from its bag of bland gags and dumb slapstick.",17.0
barry lyndon,"Cynical, ironic, and suffused with seductive natural lighting, Barry Lyndon is a complex character piece of a hapless man doomed by Georgian society.",91.0
the final year,The Final Year uses director Greg Barker's wide-ranging access to take a detailed inside look at the closing months of the Obama administration.,84.0
friday the 13th the final chapter,"As lumberingly single-minded as its homicidal star, Friday the 13th - The Final Chapter adds another rote entry to an increasingly labored franchise.",23.0
clemency,"Clemency mines serious social issues for gripping drama, brought to life by an outstanding cast led by Alfre Woodard.",92.0
the forger,"So rote that its star is overshadowed by his wig, The Forger offers nary a thrill nor a scintilla of suspense that couldn't be overpowered by a decent basic-cable drama.",9.0
camp rock,"Camp Rock wants to be the next High School Musical, but its forgettable songs and dull premise hold it back.",45.0
risky business,"Featuring one of Tom Cruise's best early performances, Risky Business is a sharp, funny examination of teen angst that doesn't stop short of exploring dark themes.",92.0
the bronze,"Enthusiastically unpleasant and mostly unfunny, The Bronze fails to stick the landing -- or much else along the way.",36.0
paths of glory,"Paths of Glory is a transcendentally humane war movie from Stanley Kubrick, with impressive, protracted battle sequences and a knock-out ending.",95.0
young einstein,Young Einstein suggests Yahoo Serious could be an effective leading man in the right comedic setting -- but this disappointingly uneven outing isn't it.,36.0
an alan smithee film burn hollywood burn,"A witless Hollywood satire whose hammy, obvious jokes are neither funny nor insightful of the movie business.",8.0
mary reilly,"The movie looks good and has its moments. But, overall, the movie borders on boredom.",26.0
perfect sense,"Perfect Sense has interesting ideas and charismatic stars, all of which add up to a viewing experience that's frustratingly less than the sum of its intriguing parts.",57.0
the lost skeleton of cadavra,"Lost Skeleton is clever at spoofing B-movies, but the joke isn't sustainable for its running time.",53.0
source code,"Finding the human story amidst the action, director Duncan Jones and charming Jake Gyllenhaal craft a smart, satisfying sci-fi thriller.",92.0
the happytime murders,The Happytime Murders wastes its intriguingly transgressive premise on a witless comedy that blindly pushes buttons instead of attempting to tell an entertaining story.,23.0
african cats,"It isn't quite as majestic as its subjects, but African Cats boasts enough astounding footage -- and a big enough heart -- to keep things entertaining.",73.0
the broken,"A British chiller lacking in strongly drawn characters, The Broken feels unfinished and undercooked.",49.0
it came from outer space,"It Came From Outer Space is a pulpy-but-effective psychological sci-fi picture, with a provocative message about xenophobia.",79.0
dr dolittle 2,"Although there are laughs to be had in Dr. Dolittle 2, its preoccupation with toilet humor and Murphy's restrained performance makes this a missed opportunity.",42.0
the night clerk,"With a pair of charismatic leads struggling to enliven a poorly conceived story, The Night Clerk checks out early -- and viewers may want to follow suit.",36.0
waste land,"Waste Land begins with an eco-friendly premise, but quickly transforms into an uplifting portrait of the power of art and the dignity of the human spirit.",100.0
spice world,"Spice World's lack of cohesive plot will likely lose most viewers, but for fans of the titular girl group there's more than enough fun to be had in their wacky -- albeit superficial -- whirlwind of an adventure.",34.0
